open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignored
2023-03-11 07:00:00,20283.90000000,20320.77000000,19823.82000000,19850.81000000,31787.51955000,2023-03-11 07:59:59.999,637732669.34997550,656622,15543.80922000,311846278.70463660,0
2023-03-11 08:00:00,19850.81000000,20208.36000000,19765.03000000,20071.82000000,31430.07237000,2023-03-11 08:59:59.999,628138731.42261890,635967,15672.35894000,313212671.59116730,0
2023-03-11 09:00:00,20071.82000000,20147.15000000,19955.43000000,20092.78000000,20800.33105000,2023-03-11 09:59:59.999,417334768.43503140,473305,10194.44873000,204550483.25104910,0
2023-03-11 10:00:00,20092.78000000,20160.15000000,19997.50000000,20036.75000000,14152.26404000,2023-03-11 10:59:59.999,284191824.38378310,368994,6902.78305000,138617936.17471530,0
2023-03-11 11:00:00,20035.98000000,20107.99000000,19971.71000000,20086.07000000,15409.27430000,2023-03-11 11:59:59.999,308922231.88336130,382619,7819.66680000,156776369.80892460,0
2023-03-11 12:00:00,20086.07000000,20129.06000000,20030.00000000,20031.65000000,11590.75024000,2023-03-11 12:59:59.999,232639613.80190180,333501,5756.27916000,115544497.73981700,0
2023-03-11 13:00:00,20032.41000000,20143.93000000,20030.01000000,20078.23000000,11421.45925000,2023-03-11 13:59:59.999,229530397.97587780,326770,5796.56000000,116489920.71571850,0
2023-03-11 14:00:00,20077.14000000,20205.46000000,20072.82000000,20112.33000000,14586.02126000,2023-03-11 14:59:59.999,293756487.68407280,388377,7237.24647000,145757383.06941650,0
2023-03-11 15:00:00,20113.14000000,20147.00000000,20040.77000000,20061.98000000,12503.59402000,2023-03-11 15:59:59.999,251219328.06259400,369049,6120.83385000,122986435.40805530,0
2023-03-11 16:00:00,20062.77000000,20104.61000000,19992.24000000,20091.11000000,14989.73120000,2023-03-11 16:59:59.999,300593233.34585690,389778,7473.56513000,149884948.01015560,0
2023-03-11 17:00:00,20091.75000000,20331.44000000,20066.00000000,20246.92000000,19784.05771000,2023-03-11 17:59:59.999,399163816.85117310,436566,10281.81795000,207422499.57220620,0
2023-03-11 18:00:00,20245.48000000,20324.21000000,20197.64000000,20226.72000000,16153.81836000,2023-03-11 18:59:59.999,327158949.45751950,427510,7814.22989000,158268112.19435060,0
2023-03-11 19:00:00,20227.46000000,20252.88000000,20145.01000000,20220.96000000,11779.92271000,2023-03-11 19:59:59.999,238026329.93889420,327524,5929.04536000,119807497.03781350,0
2023-03-11 20:00:00,20220.98000000,20456.00000000,20214.63000000,20349.40000000,20386.69151000,2023-03-11 20:59:59.999,414248211.97606370,442692,10615.50535000,215707437.09612030,0
2023-03-11 21:00:00,20349.40000000,20364.49000000,20280.00000000,20353.91000000,11759.87704000,2023-03-11 21:59:59.999,238988137.89201280,366009,5831.87923000,118520778.55879780,0
2023-03-11 22:00:00,20353.91000000,20450.00000000,20300.00000000,20333.55000000,12228.33030000,2023-03-11 22:59:59.999,249092197.76131090,346872,6061.68109000,123485412.68052590,0
2023-03-11 23:00:00,20332.53000000,20529.91000000,20330.41000000,20455.73000000,13930.00649000,2023-03-11 23:59:59.999,284441885.95627900,337049,6810.28477000,139078003.66651870,0
2023-03-12 00:00:00,20455.73000000,20502.46000000,20342.69000000,20453.41000000,17296.31670000,2023-03-12 00:59:59.999,353044018.57654180,357271,8396.32442000,171378937.56341120,0
2023-03-12 01:00:00,20453.41000000,20483.89000000,20380.00000000,20419.33000000,10518.94571000,2023-03-12 01:59:59.999,214959205.93775530,274546,5349.37412000,109318470.74266580,0
2023-03-12 02:00:00,20419.33000000,20430.66000000,20303.53000000,20377.20000000,12221.37370000,2023-03-12 02:59:59.999,248867669.79280030,295807,6146.34256000,125160896.15475940,0
2023-03-12 03:00:00,20377.21000000,20464.91000000,20351.13000000,20376.46000000,11333.87733000,2023-03-12 03:59:59.999,231080861.84607510,277363,5622.54970000,114641706.29366070,0
